participant_id,OrthoET_trial_number,OrthoET_trial_order,OrthoET_high,OrthoET_low,OrthoET_illegal,OrthoET_unpron,OrthoET_high_position,OrthoET_IA_label,OrthoET_response_time,OrthoET_response_choice,OrthoET_response_choice_accuracy_high,OrthoET_response_choice_accuracy_highlow,OrthoET_IA_fixation_count,OrthoET_IA_fixation_%,OrthoET_IA_dwell_time,OrthoET_IA_dwell_time%,OrthoET_IA_run_count,OrthoET_IA_first_run_fixation_count,OrthoET_IA_first_run_fixation%,OrthoET_IA_first_run_dwell_time,Ortho_ET_IA_inclusion,Ortho_ET_accuracy,accurate_trials,Ortho_ET_accuracy_inclusion,Ortho_ET_met_both_inclusion_count,Ortho_ET_met_both_inclusion
c141097,8,8,clar,glip,hvej,bcsr,4,Unpron_IA,2857,Low_Ortho,0,1,1,0.0909,246,0.0889,1,1,0.0909,246,1,1,18,TRUE,18,1
c141097,9,9,cret,glek,bduw,vghk,4,High_Ortho_IA,3756,High_Ortho,1,1,3,0.375,2606,0.6716,2,2,0.25,320,1,1,18,TRUE,18,1
c141097,9,9,cret,glek,bduw,vghk,4,Low_Ortho_IA,3756,High_Ortho,1,1,2,0.25,678,0.1747,1,2,0.25,678,1,1,18,TRUE,18,1
c141097,9,9,cret,glek,bduw,vghk,4,Illegal_IA,3756,High_Ortho,1,1,1,0.125,248,0.0639,1,1,0.125,248,1,1,18,TRUE,18,1
c141097,9,9,cret,glek,bduw,vghk,4,Unpron_IA,3756,High_Ortho,1,1,1,0.125,194,0.05,1,1,0.125,194,1,1,18,TRUE,18,1
c141097,10,10,blet,syod,vyuj,tvqf,2,High_Ortho_IA,2321,High_Ortho,1,1,3,0.4286,1372,0.5205,2,2,0.2857,432,1,1,18,TRUE,18,1
c141097,10,10,blet,syod,vyuj,tvqf,2,Low_Ortho_IA,2321,High_Ortho,1,1,1,0.1429,330,0.1252,1,1,0.1429,330,1,1,18,TRUE,18,1
c141097,10,10,blet,syod,vyuj,tvqf,2,Illegal_IA,2321,High_Ortho,1,1,1,0.1429,162,0.0615,1,1,0.1429,162,1,1,18,TRUE,18,1
c141097,10,10,blet,syod,vyuj,tvqf,2,Unpron_IA,2321,High_Ortho,1,1,1,0.1429,312,0.1184,1,1,0.1429,312,1,1,18,TRUE,18,1
c141097,11,11,slan,tway,bfiw,hvfn,1,High_Ortho_IA,1758,High_Ortho,1,1,1,0.5,1880,0.8918,1,1,0.5,1880,0,1,18,TRUE,18,1
c141097,11,11,slan,tway,bfiw,hvfn,1,Low_Ortho_IA,1758,High_Ortho,1,1,0,0,0,0,0,.,.,.,0,1,18,TRUE,18,1
c141097,11,11,slan,tway,bfiw,hvfn,1,Illegal_IA,1758,High_Ortho,1,1,0,0,0,0,0,.,.,.,0,1,18,TRUE,18,1
c141097,11,11,slan,tway,bfiw,hvfn,1,Unpron_IA,1758,High_Ortho,1,1,0,0,0,0,0,.,.,.,0,1,18,TRUE,18,1
c141097,12,12,prit,twap,wgiy,bkjd,3,High_Ortho_IA,2021,High_Ortho,1,1,1,0.25,1680,0.7216,1,1,0.25,1680,0,1,18,TRUE,18,1
