IP_INDEX,IP_LABEL,RECORDING_SESSION_LABEL,TRIAL_INDEX,IA_LABEL,IA_DWELL_TIME,IA_DWELL_TIME_%,IA_FIRST_RUN_DWELL_TIME,IA_FIRST_FIXATION_DURATION,IA_FIRST_FIXATION_TIME,IA_FIRST_RUN_FIXATION_COUNT,IA_FIXATION_COUNT,Accuracy,Remaining_Trials_Ortho,Response_Choice,Response_Time,Session_Name_,TASK2_POSITIONS,Trial_Index_,Trial_Number_Orthography,Trial_Recycled_,high_ortho,high_ortho_position,illegal_string,low_ortho,task,unpron_string,looked_all_four_IA,accuracy_high_low,accurate_trials,at_least_12_accurate,good_trial_count,has_12_good_trials,Group
.,Full Trial Period,c141097,5,Low_Ortho_IA,1208,0.2796,160,160,1088,1,3,Correct,13,High_Ortho,4376,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,5,UNDEFINED,slen,3,czih,knef,1,fxgk,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,5,Illegal_IA,294,0.0681,294,294,318,1,1,Correct,13,High_Ortho,4376,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,5,UNDEFINED,slen,3,czih,knef,1,fxgk,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,5,Unpron_IA,268,0.062,268,268,668,1,1,Correct,13,High_Ortho,4376,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,5,UNDEFINED,slen,3,czih,knef,1,fxgk,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,6,High_Ortho_IA,382,0.1374,204,90,1100,2,3,Incorrect,12,Low_Ortho,2661,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,6,UNDEFINED,whan,4,sruv,phey,1,pnzh,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,6,Low_Ortho_IA,1496,0.5381,390,390,324,1,2,Incorrect,12,Low_Ortho,2661,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,6,UNDEFINED,whan,4,sruv,phey,1,pnzh,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,6,Illegal_IA,294,0.1058,294,294,766,1,1,Incorrect,12,Low_Ortho,2661,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,6,UNDEFINED,whan,4,sruv,phey,1,pnzh,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,6,Unpron_IA,344,0.1237,344,344,1374,1,1,Incorrect,12,Low_Ortho,2661,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,6,UNDEFINED,whan,4,sruv,phey,1,pnzh,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,7,High_Ortho_IA,1482,0.5501,518,518,760,1,3,Correct,11,High_Ortho,2574,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,7,UNDEFINED,plic,2,hkiy,skad,1,mgnz,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,7,Low_Ortho_IA,278,0.1032,278,94,1654,2,2,Correct,11,High_Ortho,2574,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,7,UNDEFINED,plic,2,hkiy,skad,1,mgnz,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,7,Illegal_IA,282,0.1047,282,282,1320,1,1,Correct,11,High_Ortho,2574,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,7,UNDEFINED,plic,2,hkiy,skad,1,mgnz,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,7,Unpron_IA,436,0.1618,436,436,272,1,1,Correct,11,High_Ortho,2574,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,7,UNDEFINED,plic,2,hkiy,skad,1,mgnz,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,7,Unpron_IA,278,0.1032,278,94,1654,2,2,Correct,11,High_Ortho,2574,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,7,UNDEFINED,plic,2,hkiy,skad,1,mgnz,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,8,High_Ortho_IA,796,0.2878,302,302,1542,1,2,Incorrect,10,Low_Ortho,2857,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,8,UNDEFINED,clar,4,hvej,glip,1,bcsr,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,8,Low_Ortho_IA,1158,0.4187,334,334,390,1,4,Incorrect,10,Low_Ortho,2857,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,8,UNDEFINED,clar,4,hvej,glip,1,bcsr,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,8,Illegal_IA,106,0.0383,106,106,960,1,1,Incorrect,10,Low_Ortho,2857,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,8,UNDEFINED,clar,4,hvej,glip,1,bcsr,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,8,Unpron_IA,246,0.0889,246,246,1896,1,1,Incorrect,10,Low_Ortho,2857,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,8,UNDEFINED,clar,4,hvej,glip,1,bcsr,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,9,High_Ortho_IA,2464,0.6351,178,178,1152,1,2,Correct,9,High_Ortho,3756,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,9,UNDEFINED,cret,4,bduw,glek,1,vghk,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,9,Low_Ortho_IA,570,0.1469,570,570,366,1,1,Correct,9,High_Ortho,3756,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,9,UNDEFINED,cret,4,bduw,glek,1,vghk,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,9,Illegal_IA,248,0.0639,248,248,1370,1,1,Correct,9,High_Ortho,3756,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,9,UNDEFINED,cret,4,bduw,glek,1,vghk,1,1,18,TRUE,12,1,TD
